K,N,Model,G-Efficiency,Design
2,9,Higher-Order Interaction,90.23536,[ -0.091661 -0.99402; -0.96802 -0.019498; 0.19781 0.99433; -0.99977 0.9998; 0.99838 -0.99807; 0.99468 -0.058144; 0.19558 0.072726; 0.99691 0.99633; -0.99775 -0.99718 ]
2,10,Higher-Order Interaction,83.07442,[ 0.99891 0.99779; 0.9991 -0.99936; 0.5001 -0.76677; -0.53052 0.73442; -0.99965 0.99963; -0.3383 -0.95271; -0.99127 0.026314; -0.99888 -0.99552; 0.37504 0.99584; 0.99769 -0.027901 ]
3,14,Higher-Order Interaction,54.46746,[ 0.22552 -0.089094 0.12658; 0.98666 0.38068 -0.81219; -0.59052 -0.98822 0.97034; 0.57235 0.98785 -0.9753; 0.92397 -0.78739 -0.7474; -0.9782 -0.98935 -0.51755; -0.95311 -0.25315 -0.98151; 0.97616 0.9381 0.65446; 0.98086 -0.54087 0.99118; -0.55795 0.99192 0.94871; -0.99014 0.45683 0.96745; -0.98798 0.87016 -0.78455; 0.97 -0.99334 0.16405; -0.1923 -0.97249 -0.95556 ]
3,15,Higher-Order Interaction,59.70521,[ 0.98093 0.22287 -0.77922; -0.11176 -0.98152 -0.93886; -0.049907 0.40153 0.066753; 0.85944 -0.93317 0.89881; -0.99087 -0.97701 -0.82132; -0.76319 -0.95199 0.91696; -0.98374 0.41222 0.93383; 0.64198 -0.26143 0.83102; 0.58159 0.98892 -0.99026; -0.82728 0.097728 -0.90395; -0.60217 0.99187 0.97623; 0.97594 0.98319 0.0869; -0.98658 0.98286 -0.6994; 0.98389 -0.90887 -0.86594; 0.94227 0.72997 0.99129 ]
1,5,Cubic,85.50329,[ -1; -7.5315e-05; 0.6913; -0.69129; 1 ]
1,6,Cubic,83.88801,[ 0.82998; -0.82995; -0.37255; -0.99998; 0.37265; 0.99997 ]
2,9,Cubic,69.2084,[ -0.89397 -0.99908; 0.90883 -0.99847; 0.99834 0.098802; -0.99906 0.88453; -0.40047 0.9964; 0.69302 -0.52195; 0.11907 0.48688; 0.87356 0.99185; -0.79011 -0.24545 ]
2,10,Cubic,79.29094,[ 0.97558 0.99817; -0.68942 -0.33821; 0.99862 -0.95737; -0.026761 -0.995; -0.99748 -0.958; 0.71951 -0.36789; -0.99598 0.96676; -0.67799 0.42489; 0.78197 0.42023; 0.039423 0.99213 ]
2,11,Quartic,57.2644,[ -0.4065 -0.72797; -0.2611 0.13157; -0.99557 -0.96196; 0.99471 0.99034; 0.36376 0.58015; -0.95644 -0.26418; 0.61114 -0.54929; 0.019957 0.94855; 0.99545 0.67859; -0.75462 0.92483; 0.8426 -0.99784 ]
2,12,Quartic,65.02086,[ -0.77582 0.99071; 0.3838 0.54941; -0.45237 -0.61609; -0.86731 -0.99583; -0.99092 -0.30224; -0.73666 0.14607; 0.97537 0.027524; 0.41528 0.99167; -0.99458 0.62456; 0.79573 -0.86704; 0.99676 0.90382; -0.069578 -0.98713 ]
